iterations,vns_cnt,current_best,global_best,evaluations,progress,duration
1,10,392.902,452.443,20631.00,0.028,000000
2,10,407.216,392.902,36801.73,0.049,000000
3,10,412.921,392.902,47437.13,0.063,000000
4,10,392.902,392.902,76649.47,0.102,000000
5,10,390.299,392.902,115137.17,0.154,000000
6,10,392.902,390.299,142011.20,0.189,000000
7,10,385.389,390.299,176983.83,0.236,000000
8,10,412.921,385.389,191773.33,0.256,000000
9,10,412.921,385.389,214810.27,0.286,000000
10,10,384.678,385.389,245845.53,0.328,000000
11,10,406.679,384.678,257083.60,0.343,000000
12,10,384.678,384.678,311954.20,0.416,000000
13,10,392.902,384.678,335382.07,0.447,000000
14,10,393.613,384.678,350270.40,0.467,000000
15,10,406.679,384.678,378522.27,0.505,000000
16,10,404.453,384.678,392181.50,0.523,000000
17,10,401.915,384.678,421986.43,0.563,000000
18,10,412.921,384.678,432613.90,0.577,000000
19,10,392.902,384.678,449572.33,0.599,000000
20,10,412.921,384.678,475496.33,0.634,000000
21,10,412.921,384.678,487200.40,0.650,000000
22,10,421.465,384.678,505091.13,0.673,000000
23,10,392.902,384.678,525100.20,0.700,000000
24,10,412.921,384.678,534082.90,0.712,000000
25,10,412.921,384.678,549457.73,0.733,000000
26,10,408.434,384.678,567206.37,0.756,000000
27,10,384.678,384.678,601760.63,0.802,000000
28,10,392.902,384.678,629369.73,0.839,000000
29,10,393.613,384.678,647707.83,0.864,000000
30,10,392.902,384.678,659944.17,0.880,000000
31,10,392.902,384.678,671379.23,0.895,000000
32,10,392.902,384.678,707486.33,0.943,000000
33,10,400.210,384.678,725506.30,0.967,000000
34,10,412.921,384.678,737943.73,0.984,000000
35,10,392.902,384.678,749553.07,0.999,000000
36,0,452.443,384.678,750147.90,1.000,000000
37,0,452.443,384.678,750742.73,1.001,000000
38,0,452.443,384.678,751337.57,1.002,000000
39,0,452.443,384.678,751932.40,1.003,000000
40,0,452.443,384.678,752527.23,1.003,000000
41,0,452.443,384.678,753122.07,1.004,000000
42,0,452.443,384.678,753716.90,1.005,000000
43,0,452.443,384.678,754311.73,1.006,000000
44,0,452.443,384.678,754906.57,1.007,000000
45,0,452.443,384.678,755501.40,1.007,000000
46,0,452.443,384.678,756096.23,1.008,000000
47,0,452.443,384.678,756691.07,1.009,000000
48,0,452.443,384.678,757285.90,1.010,000000
49,0,452.443,384.678,757880.73,1.011,000000
50,0,452.443,384.678,758475.57,1.011,000000
51,0,452.443,384.678,759070.40,1.012,000000
52,0,452.443,384.678,759665.23,1.013,000000
53,0,452.443,384.678,760260.07,1.014,000000
54,0,452.443,384.678,760854.90,1.014,000000
55,0,452.443,384.678,761449.73,1.015,000000
56,0,452.443,384.678,762044.57,1.016,000000
57,0,452.443,384.678,762639.40,1.017,000000
58,0,452.443,384.678,763234.23,1.018,000000
59,0,452.443,384.678,763829.07,1.018,000000
60,0,452.443,384.678,764423.90,1.019,000000
61,0,452.443,384.678,765018.73,1.020,000000
62,0,452.443,384.678,765613.57,1.021,000000
63,0,452.443,384.678,766208.40,1.022,000000
64,0,452.443,384.678,766803.23,1.022,000000
65,0,452.443,384.678,767398.07,1.023,000000
66,0,452.443,384.678,767992.90,1.024,000000
67,0,452.443,384.678,768587.73,1.025,000000
68,0,452.443,384.678,769182.57,1.026,000000
69,0,452.443,384.678,769777.40,1.026,000000
70,0,452.443,384.678,770372.23,1.027,000000
71,0,452.443,384.678,770967.07,1.028,000000
72,0,452.443,384.678,771561.90,1.029,000000
73,0,452.443,384.678,772156.73,1.030,000000
74,0,452.443,384.678,772751.57,1.030,000000
75,0,452.443,384.678,773346.40,1.031,000000
76,0,452.443,384.678,773941.23,1.032,000000
77,0,452.443,384.678,774536.07,1.033,000000
78,0,452.443,384.678,775130.90,1.034,000000
79,0,452.443,384.678,775725.73,1.034,000000
80,0,452.443,384.678,776320.57,1.035,000000
81,0,452.443,384.678,776915.40,1.036,000000
82,0,452.443,384.678,777510.23,1.037,000000
83,0,452.443,384.678,778105.07,1.037,000000
84,0,452.443,384.678,778699.90,1.038,000000
85,0,452.443,384.678,779294.73,1.039,000000
86,0,452.443,384.678,779889.57,1.040,000000
87,0,452.443,384.678,780484.40,1.041,000000
88,0,452.443,384.678,781079.23,1.041,000000
89,0,452.443,384.678,781674.07,1.042,000000
90,0,452.443,384.678,782268.90,1.043,000000
91,0,452.443,384.678,782863.73,1.044,000000
92,0,452.443,384.678,783458.57,1.045,000000
93,0,452.443,384.678,784053.40,1.045,000000
94,0,452.443,384.678,784648.23,1.046,000000
95,0,452.443,384.678,785243.07,1.047,000000
96,0,452.443,384.678,785837.90,1.048,000000
97,0,452.443,384.678,786432.73,1.049,000000
98,0,452.443,384.678,787027.57,1.049,000000
99,0,452.443,384.678,787622.40,1.050,000000
100,0,452.443,384.678,788217.23,1.051,000000
101,0,452.443,384.678,788812.07,1.052,000000
102,0,452.443,384.678,789406.90,1.053,000000
103,0,452.443,384.678,790001.73,1.053,000000
104,0,452.443,384.678,790596.57,1.054,000000
105,0,452.443,384.678,791191.40,1.055,000000
106,0,452.443,384.678,791786.23,1.056,000000
107,0,452.443,384.678,792381.07,1.057,000000
108,0,452.443,384.678,792975.90,1.057,000000
109,0,452.443,384.678,793570.73,1.058,000000
110,0,452.443,384.678,794165.57,1.059,000000
111,0,452.443,384.678,794760.40,1.060,000000
112,0,452.443,384.678,795355.23,1.060,000000
113,0,452.443,384.678,795950.07,1.061,000000
114,0,452.443,384.678,796544.90,1.062,000000
115,0,452.443,384.678,797139.73,1.063,000000
116,0,452.443,384.678,797734.57,1.064,000000
117,0,452.443,384.678,798329.40,1.064,000000
118,0,452.443,384.678,798924.23,1.065,000000
119,0,452.443,384.678,799519.07,1.066,000000
120,0,452.443,384.678,800113.90,1.067,000000
121,0,452.443,384.678,800708.73,1.068,000000
122,0,452.443,384.678,801303.57,1.068,000000
123,0,452.443,384.678,801898.40,1.069,000000
124,0,452.443,384.678,802493.23,1.070,000000
125,0,452.443,384.678,803088.07,1.071,000000
126,0,452.443,384.678,803682.90,1.072,000000
127,0,452.443,384.678,804277.73,1.072,000000
128,0,452.443,384.678,804872.57,1.073,000000
129,0,452.443,384.678,805467.40,1.074,000000
130,0,452.443,384.678,806062.23,1.075,000000
131,0,452.443,384.678,806657.07,1.076,000000
132,0,452.443,384.678,807251.90,1.076,000000
133,0,452.443,384.678,807846.73,1.077,000000
134,0,452.443,384.678,808441.57,1.078,000000
135,0,452.443,384.678,809036.40,1.079,000000
136,0,452.443,384.678,809631.23,1.080,000000
137,0,452.443,384.678,810226.07,1.080,000000
138,0,452.443,384.678,810820.90,1.081,000000
139,0,452.443,384.678,811415.73,1.082,000000
140,0,452.443,384.678,812010.57,1.083,000000
141,0,452.443,384.678,812605.40,1.083,000000
142,0,452.443,384.678,813200.23,1.084,000000
143,0,452.443,384.678,813795.07,1.085,000000
144,0,452.443,384.678,814389.90,1.086,000000
145,0,452.443,384.678,814984.73,1.087,000000
146,0,452.443,384.678,815579.57,1.087,000000
147,0,452.443,384.678,816174.40,1.088,000000
148,0,452.443,384.678,816769.23,1.089,000000
149,0,452.443,384.678,817364.07,1.090,000000
150,0,452.443,384.678,817958.90,1.091,000000
151,0,452.443,384.678,818553.73,1.091,000000
152,0,452.443,384.678,819148.57,1.092,000000
153,0,452.443,384.678,819743.40,1.093,000000
154,0,452.443,384.678,820338.23,1.094,000000
155,0,452.443,384.678,820933.07,1.095,000000
156,0,452.443,384.678,821527.90,1.095,000000
157,0,452.443,384.678,822122.73,1.096,000000
158,0,452.443,384.678,822717.57,1.097,000000
159,0,452.443,384.678,823312.40,1.098,000000
160,0,452.443,384.678,823907.23,1.099,000000
161,0,452.443,384.678,824502.07,1.099,000000
162,0,452.443,384.678,825096.90,1.100,000000
163,0,452.443,384.678,825691.73,1.101,000000
164,0,452.443,384.678,826286.57,1.102,000000
165,0,452.443,384.678,826881.40,1.103,000000
166,0,452.443,384.678,827476.23,1.103,000000
167,0,452.443,384.678,828071.07,1.104,000000
168,0,452.443,384.678,828665.90,1.105,000000
169,0,452.443,384.678,829260.73,1.106,000000
170,0,452.443,384.678,829855.57,1.106,000000
171,0,452.443,384.678,830450.40,1.107,000000
172,0,452.443,384.678,831045.23,1.108,000000
173,0,452.443,384.678,831640.07,1.109,000000
174,0,452.443,384.678,832234.90,1.110,000000
175,0,452.443,384.678,832829.73,1.110,000000
176,0,452.443,384.678,833424.57,1.111,000000
177,0,452.443,384.678,834019.40,1.112,000000
178,0,452.443,384.678,834614.23,1.113,000000
179,0,452.443,384.678,835209.07,1.114,000000
180,0,452.443,384.678,835803.90,1.114,000000
181,0,452.443,384.678,836398.73,1.115,000000
182,0,452.443,384.678,836993.57,1.116,000000
183,0,452.443,384.678,837588.40,1.117,000000
184,0,452.443,384.678,838183.23,1.118,000000
185,0,452.443,384.678,838778.07,1.118,000000
186,0,452.443,384.678,839372.90,1.119,000000
187,0,452.443,384.678,839967.73,1.120,000000
188,0,452.443,384.678,840562.57,1.121,000000
189,0,452.443,384.678,841157.40,1.122,000000
190,0,452.443,384.678,841752.23,1.122,000000
191,0,452.443,384.678,842347.07,1.123,000000
192,0,452.443,384.678,842941.90,1.124,000000
193,0,452.443,384.678,843536.73,1.125,000000
194,0,452.443,384.678,844131.57,1.126,000000
195,0,452.443,384.678,844726.40,1.126,000000
196,0,452.443,384.678,845321.23,1.127,000000
197,0,452.443,384.678,845916.07,1.128,000000
198,0,452.443,384.678,846510.90,1.129,000000
199,0,452.443,384.678,847105.73,1.129,000000
200,0,452.443,384.678,847700.57,1.130,000000
201,0,452.443,384.678,848295.40,1.131,000000
202,0,452.443,384.678,848890.23,1.132,000000
203,0,452.443,384.678,849485.07,1.133,000000
204,0,452.443,384.678,850079.90,1.133,000000
205,0,452.443,384.678,850674.73,1.134,000000
206,0,452.443,384.678,851269.57,1.135,000000
207,0,452.443,384.678,851864.40,1.136,000000
208,0,452.443,384.678,852459.23,1.137,000000
209,0,452.443,384.678,853054.07,1.137,000000
210,0,452.443,384.678,853648.90,1.138,000000
211,0,452.443,384.678,854243.73,1.139,000000
212,0,452.443,384.678,854838.57,1.140,000000
213,0,452.443,384.678,855433.40,1.141,000000
214,0,452.443,384.678,856028.23,1.141,000000
215,0,452.443,384.678,856623.07,1.142,000000
216,0,452.443,384.678,857217.90,1.143,000000
217,0,452.443,384.678,857812.73,1.144,000000
218,0,452.443,384.678,858407.57,1.145,000000
219,0,452.443,384.678,859002.40,1.145,000000
220,0,452.443,384.678,859597.23,1.146,000000
221,0,452.443,384.678,860192.07,1.147,000000
222,0,452.443,384.678,860786.90,1.148,000000
223,0,452.443,384.678,861381.73,1.149,000000
224,0,452.443,384.678,861976.57,1.149,000000
225,0,452.443,384.678,862571.40,1.150,000000
226,0,452.443,384.678,863166.23,1.151,000000
227,0,452.443,384.678,863761.07,1.152,000000
228,0,452.443,384.678,864355.90,1.152,000000
229,0,452.443,384.678,864950.73,1.153,000000
230,0,452.443,384.678,865545.57,1.154,000000
231,0,452.443,384.678,866140.40,1.155,000000
232,0,452.443,384.678,866735.23,1.156,000000
233,0,452.443,384.678,867330.07,1.156,000000
234,0,452.443,384.678,867924.90,1.157,000000
235,0,452.443,384.678,868519.73,1.158,000000
236,0,452.443,384.678,869114.57,1.159,000000
237,0,452.443,384.678,869709.40,1.160,000000
238,0,452.443,384.678,870304.23,1.160,000000
239,0,452.443,384.678,870899.07,1.161,000000
240,0,452.443,384.678,871493.90,1.162,000000
241,0,452.443,384.678,872088.73,1.163,000000
242,0,452.443,384.678,872683.57,1.164,000000
243,0,452.443,384.678,873278.40,1.164,000000
244,0,452.443,384.678,873873.23,1.165,000000
245,0,452.443,384.678,874468.07,1.166,000000
246,0,452.443,384.678,875062.90,1.167,000000
247,0,452.443,384.678,875657.73,1.168,000000
248,0,452.443,384.678,876252.57,1.168,000000
249,0,452.443,384.678,876847.40,1.169,000000
250,0,452.443,384.678,877442.23,1.170,000000
251,0,452.443,384.678,878037.07,1.171,000000
252,0,452.443,384.678,878631.90,1.172,000000
253,0,452.443,384.678,879226.73,1.172,000000
254,0,452.443,384.678,879821.57,1.173,000000
255,0,452.443,384.678,880416.40,1.174,000000
256,0,452.443,384.678,881011.23,1.175,000000
257,0,452.443,384.678,881606.07,1.175,000000
258,0,452.443,384.678,882200.90,1.176,000000
259,0,452.443,384.678,882795.73,1.177,000000
260,0,452.443,384.678,883390.57,1.178,000000
261,0,452.443,384.678,883985.40,1.179,000000
262,0,452.443,384.678,884580.23,1.179,000000
263,0,452.443,384.678,885175.07,1.180,000000
264,0,452.443,384.678,885769.90,1.181,000000
265,0,452.443,384.678,886364.73,1.182,000000
266,0,452.443,384.678,886959.57,1.183,000000
267,0,452.443,384.678,887554.40,1.183,000000
268,0,452.443,384.678,888149.23,1.184,000000
269,0,452.443,384.678,888744.07,1.185,000000
270,0,452.443,384.678,889338.90,1.186,000000
271,0,452.443,384.678,889933.73,1.187,000000
272,0,452.443,384.678,890528.57,1.187,000000
273,0,452.443,384.678,891123.40,1.188,000000
274,0,452.443,384.678,891718.23,1.189,000000
275,0,452.443,384.678,892313.07,1.190,000000
276,0,452.443,384.678,892907.90,1.191,000000
277,0,452.443,384.678,893502.73,1.191,000000
278,0,452.443,384.678,894097.57,1.192,000000
279,0,452.443,384.678,894692.40,1.193,000000
280,0,452.443,384.678,895287.23,1.194,000000
281,0,452.443,384.678,895882.07,1.195,000000
282,0,452.443,384.678,896476.90,1.195,000000
283,0,452.443,384.678,897071.73,1.196,000000
284,0,452.443,384.678,897666.57,1.197,000000
285,0,452.443,384.678,898261.40,1.198,000000
286,0,452.443,384.678,898856.23,1.198,000000
287,0,452.443,384.678,899451.07,1.199,000000
288,0,452.443,384.678,900045.90,1.200,000000
289,0,452.443,384.678,900640.73,1.201,000000
290,0,452.443,384.678,901235.57,1.202,000000
291,0,452.443,384.678,901830.40,1.202,000000
292,0,452.443,384.678,902425.23,1.203,000000
293,0,452.443,384.678,903020.07,1.204,000000
294,0,452.443,384.678,903614.90,1.205,000000
295,0,452.443,384.678,904209.73,1.206,000000
296,0,452.443,384.678,904804.57,1.206,000000
297,0,452.443,384.678,905399.40,1.207,000000
298,0,452.443,384.678,905994.23,1.208,000000
299,0,452.443,384.678,906589.07,1.209,000000
300,0,452.443,384.678,907183.90,1.210,000000
301,0,452.443,384.678,907778.73,1.210,000000
302,0,452.443,384.678,908373.57,1.211,000000
303,0,452.443,384.678,908968.40,1.212,000000
304,0,452.443,384.678,909563.23,1.213,000000
305,0,452.443,384.678,910158.07,1.214,000000
306,0,452.443,384.678,910752.90,1.214,000000
307,0,452.443,384.678,911347.73,1.215,000000
308,0,452.443,384.678,911942.57,1.216,000000
309,0,452.443,384.678,912537.40,1.217,000000
310,0,452.443,384.678,913132.23,1.218,000000
311,0,452.443,384.678,913727.07,1.218,000000
312,0,452.443,384.678,914321.90,1.219,000000
313,0,452.443,384.678,914916.73,1.220,000000
314,0,452.443,384.678,915511.57,1.221,000000
315,0,452.443,384.678,916106.40,1.221,000000
316,0,452.443,384.678,916701.23,1.222,000000
317,0,452.443,384.678,917296.07,1.223,000000
318,0,452.443,384.678,917890.90,1.224,000000
319,0,452.443,384.678,918485.73,1.225,000000
320,0,452.443,384.678,919080.57,1.225,000000
321,0,452.443,384.678,919675.40,1.226,000000
322,0,452.443,384.678,920270.23,1.227,000000
323,0,452.443,384.678,920865.07,1.228,000000
324,0,452.443,384.678,921459.90,1.229,000000
325,0,452.443,384.678,922054.73,1.229,000000
326,0,452.443,384.678,922649.57,1.230,000000
327,0,452.443,384.678,923244.40,1.231,000000
328,0,452.443,384.678,923839.23,1.232,000000
329,0,452.443,384.678,924434.07,1.233,000000
330,0,452.443,384.678,925028.90,1.233,000000
331,0,452.443,384.678,925623.73,1.234,000000
332,0,452.443,384.678,926218.57,1.235,000000
333,0,452.443,384.678,926813.40,1.236,000000
334,0,452.443,384.678,927408.23,1.237,000000
335,0,452.443,384.678,928003.07,1.237,000000
336,0,452.443,384.678,928597.90,1.238,000000
337,0,452.443,384.678,929192.73,1.239,000000
338,0,452.443,384.678,929787.57,1.240,000000
339,0,452.443,384.678,930382.40,1.241,000000
340,0,452.443,384.678,930977.23,1.241,000000
341,0,452.443,384.678,931572.07,1.242,000000
342,0,452.443,384.678,932166.90,1.243,000000
343,0,452.443,384.678,932761.73,1.244,000000
344,0,452.443,384.678,933356.57,1.244,000000
345,0,452.443,384.678,933951.40,1.245,000000
346,0,452.443,384.678,934546.23,1.246,000000
347,0,452.443,384.678,935141.07,1.247,000000
348,0,452.443,384.678,935735.90,1.248,000000
349,0,452.443,384.678,936330.73,1.248,000000
350,0,452.443,384.678,936925.57,1.249,000000
351,0,452.443,384.678,937520.40,1.250,000000
352,0,452.443,384.678,938115.23,1.251,000000
353,0,452.443,384.678,938710.07,1.252,000000
354,0,452.443,384.678,939304.90,1.252,000000
355,0,452.443,384.678,939899.73,1.253,000000
